year,South America,Africa,North America,Oceania,Asia,Europe
2020,440751964,1199587298,592635837,41134842,4801329161,611748049
2021,445685805,1216823479,598096924,41572775,4852117666,613416445
2022,450619646,1234059659,603558011,42010709,4902906171,615084841
2023,455553487,1251295840,609019098,42448642,4953694676,616753237
2024,460487328,1268532020,614480185,42886575,5004483181,618421633
2025,465421169,1285768201,619941271,43324509,5055271686,620090029
2026,470355010,1303004381,625402358,43762442,5106060191,621758425
2027,475288851,1320240562,630863445,44200375,5156848696,623426821
2028,480222692,1337476742,636324532,44638309,5207637202,625095217
2029,485156533,1354712923,641785619,45076242,5258425707,626763613
2030,490090374,1371949103,647246706,45514175,5309214212,628432009
2031,495024215,1389185284,652707792,45952109,5360002717,630100405
2032,499958055,1406421464,658168879,46390042,5410791222,631768800
2033,504891896,1423657645,663629966,46827975,5461579727,633437196
2034,509825737,1440893825,669091053,47265909,5512368232,635105592
2035,514759578,1458130006,674552140,47703842,5563156737,636773988
2036,519693419,1475366186,680013227,48141775,5613945242,638442384
2037,524627260,1492602367,685474314,48579709,5664733747,640110780
2038,529561101,1509838547,690935400,49017642,5715522252,641779176
2039,534494942,1527074728,696396487,49455575,5766310757,643447572
2040,539428783,1544310908,701857574,49893509,5817099262,645115968
2041,544362624,1561547089,707318661,50331442,5867887767,646784364
2042,549296465,1578783269,712779748,50769376,5918676272,648452760
2043,554230306,1596019450,718240835,51207309,5969464777,650121156
2044,559164146,1613255630,723701921,51645242,6020253282,651789551
2045,564097987,1630491811,729163008,52083176,6071041787,653457947
2046,569031828,1647727991,734624095,52521109,6121830292,655126343
2047,573965669,1664964172,740085182,52959042,6172618797,656794739
2048,578899510,1682200352,745546269,53396976,6223407303,658463135
2049,583833351,1699436533,751007356,53834909,6274195808,660131531
2050,588767192,1716672713,756468443,54272842,6324984313,661799927
2051,593701033,1733908894,761929529,54710776,6375772818,663468323
2052,598634874,1751145074,767390616,55148709,6426561323,665136719
2053,603568715,1768381255,772851703,55586642,6477349828,666805115
2054,608502556,1785617435,778312790,56024576,6528138333,668473511
2055,613436397,1802853616,783773877,56462509,6578926838,670141907
2056,618370238,1820089796,789234964,56900442,6629715343,671810302
2057,623304078,1837325977,794696050,57338376,6680503848,673478698
2058,628237919,1854562157,800157137,57776309,6731292353,675147094
2059,633171760,1871798338,805618224,58214242,6782080858,676815490
